sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 22, 2026 10:24:05

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
         +xefx_fifo_ctl:efx_fifo_ctl_f9db9b463f784e0ead4594b0b8e61d81(SYNC_CLK=0,WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PIPELINE_REG=0,ALMOST_FLAG=0,PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     56(28)	       0(0)	     13(13)	     28(10)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +bram_u1:bram_wrapper_fifo_f9db9b463f784e0ead4594b0b8e61d81	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,DEPTH=64,DATA_WIDTH=1,PIPELINE_REG=0,OPTIONAL_FLAGS=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_f9db9b463f784e0ead4594b0b8e61d81(SYNC_CLK=0,WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PIPELINE_REG=0,ALMOST_FLAG=0,PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     56(28)	       0(0)	     13(13)	     28(10)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +bram_u0:bram_wrapper_fifo_f9db9b463f784e0ead4594b0b8e61d81	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,DEPTH=64,DATA_WIDTH=1,PIPELINE_REG=0,OPTIONAL_FLAGS=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_f9db9b463f784e0ead4594b0b8e61d81(SYNC_CLK=0,WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PIPELINE_REG=0,ALMOST_FLAG=0,PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     56(28)	       0(0)	     13(13)	     28(10)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +map_ram:user_dual_port_ram_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	     22(22)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_f9db9b463f784e0ead4594b0b8e61d81(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	      10(0)	       2(0)	       0(0)	       2(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
